Zaman (sn),Voltaj (V),Label
1.5962,1.6609,1
1.5963,1.6891,1
1.5963,1.6367,1
1.5963,1.6278,1
1.5963,1.6214,1
1.5963,1.6158,1
1.5963,1.6174,1
1.5964,1.6158,1
1.6013,1.6270,1
1.6013,1.6319,1
1.6014,1.6480,1
1.6014,1.6617,1
1.6014,1.6730,1
1.6014,1.6939,1
1.6014,1.6891,1
1.6014,1.7092,1
1.6015,1.6907,1
1.6015,1.6851,1
1.6056,1.6794,1
1.6056,1.6754,1
1.6056,1.6697,1
1.6056,1.6665,1
1.6057,1.6440,1
1.6057,1.6335,1
1.6057,1.6198,1
1.6057,1.6037,1
1.6098,1.6109,1
1.6098,1.6286,1
1.6098,1.6262,1
1.6098,1.6432,1
1.6099,1.6480,1
1.6099,1.6649,1
1.6099,1.6778,1
1.6099,1.6826,1
1.6099,1.6883,1
1.6144,1.6802,1
1.6144,1.6891,1
1.6145,1.6875,1
1.6145,1.6802,1
1.6145,1.6754,1
1.6145,1.6617,1
1.6145,1.6528,1
1.6145,1.6432,1
1.6145,1.6407,1
1.6197,1.6246,1
1.6197,1.6278,1
1.6197,1.6149,1
1.6198,1.6166,1
1.6198,1.6254,1
1.6198,1.6327,1
1.6199,1.6432,1
1.6199,1.6593,1
1.6199,1.6697,1
1.6199,1.6778,1
1.6199,1.6851,1
1.6245,1.6859,1
1.6246,1.6883,1
1.6246,1.6859,1
1.6246,1.6826,1
1.6246,1.6754,1
1.6246,1.6681,1
1.6247,1.6568,1
1.6247,1.6432,1
1.6247,1.6198,1
1.6292,1.6222,1
1.6292,1.6101,1
1.6292,1.6133,1
1.6292,1.6174,1
1.6292,1.6262,1
1.6293,1.6230,1
1.6293,1.6528,1
1.6293,1.6697,1
1.6293,1.6770,1
1.6293,1.6762,1
1.6349,1.6891,1
1.6349,1.6907,1
1.6349,1.6875,1
1.6349,1.6851,1
1.6350,1.6778,1
1.6350,1.6786,1
1.6350,1.6601,1
1.6350,1.6536,1
1.6350,1.6359,1
1.6350,1.6295,1
1.6351,1.6238,1
1.6395,1.6149,1
1.6395,1.6174,1
1.6396,1.6174,1
1.6396,1.6278,1
1.6396,1.6415,1
1.6396,1.6488,1
1.6396,1.6665,1
1.6396,1.6705,1
1.6396,1.6786,1
1.6440,1.6851,1
1.6441,1.6770,1
1.6441,1.6931,1
1.6441,1.6875,1
1.6441,1.6826,1
1.6441,1.6762,1
1.6441,1.6681,1
1.6441,1.6552,1
1.6442,1.6432,1
1.6487,1.6303,1
1.6487,1.6174,1
1.6488,1.6093,1
1.6488,1.6109,1
1.6488,1.6166,1
1.6488,1.6238,1
1.6488,1.6407,1
1.6488,1.6504,1
1.6489,1.6673,1
1.6489,1.6754,1
1.6534,1.7036,1
1.6534,1.6851,1
1.6534,1.6818,1
1.6534,1.6851,1
1.6535,1.6826,1
1.6535,1.6762,1
1.6535,1.6697,1
1.6535,1.6585,1
1.6535,1.6472,1
1.6579,1.6375,1
1.6580,1.6262,1
1.6580,1.6190,1
1.6580,1.6141,1
1.6580,1.6158,1
1.6580,1.6141,1
1.6580,1.6246,1
1.6581,1.6367,1
1.6581,1.6480,1
1.6626,1.6593,1
1.6626,1.6722,1
1.6626,1.6802,1
1.6626,1.6834,1
1.6627,1.6859,1
1.6627,1.6851,1
1.6627,1.6859,1
1.6627,1.6778,1
1.6627,1.6705,1
1.6681,1.6625,1
1.6681,1.6552,1
1.6681,1.6423,1
1.6681,1.6286,1
1.6681,1.6174,1
1.6681,1.6125,1
1.6682,1.6093,1
1.6682,1.6149,1
1.6682,1.6246,1
1.6682,1.6391,1
1.6682,1.6488,1
1.6728,1.6673,1
1.6728,1.6746,1
1.6729,1.6826,1
1.6729,1.6875,1
1.6729,1.6826,1
1.6729,1.6851,1
1.6729,1.6826,1
1.6729,1.6778,1
1.6730,1.7374,1
1.6730,1.6528,1
1.6774,1.6423,1
1.6774,1.6311,1
1.6775,1.6238,1
1.6775,1.6166,1
1.6775,1.6125,1
1.6775,1.6166,1
1.6775,1.5174,1
1.6775,1.6359,1
1.6776,1.6432,1
1.6822,1.6536,1
1.6822,1.6633,1
1.6822,1.6754,1
1.6823,1.6851,1
1.6823,1.6883,1
1.6823,1.6810,1
1.6823,1.6891,1
1.6823,1.6867,1
1.6823,1.6802,1
1.6824,1.6722,1
1.6870,1.6665,1
1.6870,1.6536,1
1.6870,1.6407,1
1.6871,1.6278,1
1.6871,1.6133,1
1.6871,1.6125,1
1.6871,1.6045,1
1.6871,1.6069,1
1.6871,1.6166,1
1.6917,1.6335,1
1.6917,1.6415,1
1.6917,1.6585,1
1.6918,1.6681,1
1.6918,1.6786,1
1.6918,1.6810,1
1.6918,1.6810,1
1.6918,1.6851,1
1.6919,1.6818,1
1.6919,1.6754,1
1.6965,1.6697,1
1.6965,1.6601,1
1.6965,1.6504,1
1.6965,1.6415,1
1.6966,1.6335,1
1.6966,1.6222,1
1.6966,1.6182,1
1.6966,1.6190,1
1.6966,1.6190,1
1.7021,1.6278,1
1.7021,1.6343,1
1.7021,1.6480,1
1.7021,1.6609,1
1.7022,1.6714,1
1.7022,1.6794,1
1.7022,1.6859,1
1.7022,1.6875,1
1.7022,1.6867,1
1.7022,1.6859,1
1.7023,1.6786,1
1.7023,1.6722,1
1.7072,1.6657,1
1.7072,1.6504,1
1.7072,1.6391,1
1.7072,1.6238,1
1.7073,1.6125,1
1.7073,1.6045,1
1.7073,1.6077,1
1.7073,1.6117,1
1.7073,1.6214,1
1.7073,1.6319,1
1.7119,1.6472,1
1.7119,1.6625,1
1.7119,1.6730,1
1.7119,1.6794,1
1.7120,1.6851,1
1.7120,1.6842,1
1.7120,1.6851,1
1.7120,1.6786,1
1.7120,1.6786,1
1.7167,1.6705,1
